Wavelength (nm),lowFeglass_n,lowFeglass_k,ITO_n,ITO_k,TiO2_n,TiO2_k,MAPI_n,MAPI_k,SPIRO_n,SPIRO_k,Au_n,Au_k
300,1.557,1.1756e-06,2.4,0.2609,4.823,0.4399,2.1643,0.74447,1.803,0.20601,1.7299,1.874
310,1.554,1.19e-05,2.387,0.2296,4.548,0.25436,1.9441,0.59934,1.7987,0.20028,1.7406,1.8357
320,1.551,3.06e-06,2.374,0.2011,4.3063,0.12336,1.9281,0.66396,1.7944,0.19455,1.7342,1.7989
330,1.549,1.4e-06,2.359,0.1751,4.0983,0.045313,1.9468,0.7421,1.7901,0.18882,1.712,1.7693
340,1.547,6.06e-07,2.345,0.1515,3.9442,0.01678,2.0058,0.81292,1.7858,0.18309,1.6779,1.7518
350,1.545,2.46e-07,2.33,0.13,3.8168,0.002773,2.0954,0.85538,1.615,0.2884,1.6383,1.749
360,1.543,1.16e-07,2.315,0.1106,3.7123,0,2.1954,0.85974,1.65,0.3286,1.5997,1.7603
370,1.542,9.3e-08,2.3,0.0931,3.6374,0,2.2864,0.82981,1.708,0.3525,1.5688,1.7819
380,1.54,1.31e-07,2.285,0.0775,3.5738,0,2.3568,0.7773,1.78,0.3491,1.5478,1.8063
390,1.539,6.26e-08,2.27,0.0635,3.5187,0,2.4039,0.71514,1.853,0.3102,1.5351,1.8276
400,1.537,4.57e-08,2.256,0.0512,3.4734,0,2.4306,0.65277,1.906,0.2354,1.5275,1.8392
410,1.536,5.01e-08,2.241,0.0403,3.4338,0,2.4416,0.59572,1.918,0.1396,1.5188,1.8407
420,1.535,5.45e-08,2.227,0.031,3.3982,0,2.4417,0.54643,1.88,0.0551,1.5029,1.8308
430,1.534,5.88e-08,2.213,0.0229,3.3678,0,2.435,0.50545,1.816,0.0123,1.4762,1.8135
440,1.533,5.1e-08,2.2,0.0162,3.3408,0,2.4242,0.47243,1.762,0.00927,1.4327,1.7916
450,1.532,4.25e-08,2.187,0.0108,3.316,0,2.4115,0.44667,1.732,0.0215,1.3734,1.7704
460,1.531,3.35e-08,2.174,0.00652,3.2942,0,2.3984,0.42729,1.72,0.0313,1.2961,1.7555
470,1.53,3.68e-08,2.162,0.0034,3.2746,0,2.386,0.41343,1.715,0.0344,1.2023,1.7521
480,1.529,4e-08,2.151,0.00135,3.2562,0,2.3752,0.40429,1.711,0.0326,1.0963,1.7639
490,1.529,2.97e-08,2.141,0.000349,3.2392,0,2.3665,0.39907,1.707,0.0285,0.98187,1.7958
500,1.528,3.26e-08,2.132,0.00023,3.224,0,2.3605,0.39693,1.702,0.0236,0.86544,1.8504
510,1.527,3.54e-08,2.125,0.000244,3.2098,0,2.3577,0.39699,1.696,0.0191,0.7536,1.9244
520,1.527,3.82e-08,2.118,0.00026,3.1969,0,2.3581,0.39838,1.69,0.0153,0.65091,2.0153
530,1.526,4.09e-08,2.111,0.000276,3.1852,0,2.362,0.40017,1.684,0.0122,0.56041,2.1185
540,1.526,4.36e-08,2.106,0.000293,3.1741,0,2.369,0.40148,1.678,0.00985,0.4843,2.2303
550,1.525,4.63e-08,2.1,0.00031,3.164,0,2.3787,0.40149,1.673,0.00813,0.42108,2.3459
560,1.525,6.43e-08,2.096,0.000328,3.1545,0,2.3907,0.39954,1.668,0.00692,0.36901,2.4628
570,1.524,6.72e-08,2.091,0.000346,3.1456,0,2.4042,0.39515,1.664,0.00608,0.32653,2.579
580,1.524,8.6e-08,2.087,0.000365,3.1374,0,2.4185,0.38807,1.66,0.00555,0.29209,2.6934
590,1.523,8.91e-08,2.083,0.000385,3.1299,0,2.4327,0.37825,1.656,0.00523,0.26429,2.8056
600,1.523,1.09e-07,2.079,0.000406,3.1228,0,2.446,0.3659,1.653,0.00508,0.24197,2.9152
610,1.522,1.12e-07,2.076,0.000427,3.1161,0,2.458,0.35138,1.65,0.00504,0.22409,3.0221
620,1.522,1.33e-07,2.072,0.000449,3.1093,0,2.468,0.33518,1.647,0.00508,0.20986,3.1263
630,1.522,1.53e-07,2.069,0.000472,3.1032,0,2.4759,0.31789,1.645,0.00519,0.1986,3.228
640,1.521,1.75e-07,2.066,0.000495,3.0978,0,2.4813,0.30013,1.643,0.00533,0.18979,3.3272
650,1.521,1.79e-07,2.064,0.000519,3.0924,0,2.4845,0.2825,1.641,0.00549,0.18299,3.4242
660,1.521,2.01e-07,2.061,0.000544,3.087,0,2.4854,0.26561,1.639,0.00568,0.17785,3.5192
670,1.52,2.24e-07,2.059,0.00057,3.0816,0,2.4844,0.24998,1.638,0.00587,0.1741,3.6123
680,1.52,2.48e-07,2.056,0.000596,3.0776,0,2.482,0.23614,1.636,0.00607,0.1715,3.7037
690,1.52,2.53e-07,2.054,0.000623,3.0731,0,2.4786,0.22457,1.635,0.00627,0.16988,3.7934
700,1.52,2.77e-07,2.052,0.000651,3.0686,0,2.475,0.21575,1.633,0.00647,0.16909,3.8817
710,1.519,3.02e-07,2.05,0.00068,3.0652,0,2.4724,0.21011,1.632,0.00667,0.16899,3.9688
720,1.519,3.27e-07,2.048,0.00071,3.0613,0,2.4726,0.20792,1.631,0.00687,0.16959,4.0544
730,1.519,3.53e-07,2.046,0.00074,3.0574,0,2.4787,0.20856,1.63,0.00706,0.17072,4.1389
740,1.518,3.8e-07,2.044,0.000771,3.054,0,2.4954,0.20833,1.629,0.007258,0.17229,4.2223
750,1.518,4.07e-07,2.042,0.000804,3.0511,0,2.5249,0.19609,1.628,0.0074481,0.17424,4.3049
760,1.518,4.34e-07,2.04,0.000837,3.0482,0,2.5533,0.15676,1.628,0.007648,0.17654,4.3866
770,1.518,4.63e-07,2.039,0.00087,3.0448,0,2.5528,0.10069,1.627,0.0078381,0.17913,4.4674
780,1.518,4.92e-07,2.037,0.000905,3.042,0,2.5251,0.059108,1.626,0.008038,0.18206,4.5474
790,1.517,5.21e-07,2.036,0.000941,3.0392,0,2.4929,0.038991,1.625,0.0082281,0.18524,4.6267
800,1.517,5.51e-07,2.034,0.000978,3.0365,0,2.4668,0.031377,1.624,0.008428,0.18862,4.7053
810,1.517,5.82e-07,2.033,0.00102,3.0344,0,2.4482,0.027638,1.624,0.0086379,0.19218,4.7833
820,1.517,6.13e-07,2.031,0.00105,3.0321,0,2.4332,0.024477,1.623,0.008838,0.19591,4.8608
830,1.517,6.45e-07,2.03,0.00109,3.0294,0,2.4202,0.021832,1.622,0.0090578,0.19986,4.9375
840,1.516,6.77e-07,2.029,0.00113,3.0273,0,2.4087,0.019648,1.622,0.0092778,0.20392,5.0137
850,1.516,7.1e-07,2.028,0.00117,3.0252,0,2.3983,0.017865,1.621,0.0095077,0.20811,5.0896
860,1.516,7.19e-07,2.026,0.00122,3.0232,0,2.3888,0.016431,1.62,0.0097377,0.21242,5.1649
870,1.516,7.51e-07,2.025,0.00126,3.0212,0,2.3801,0.015297,1.62,0.0099875,0.21686,5.2398
880,1.516,7.88e-07,2.024,0.0013,3.0191,0,2.3721,0.014421,1.619,0.010198,0.22138,5.3142
890,1.515,7.98e-07,2.023,0.00135,3.0171,0,2.3647,0.013763,1.618,0.010497,0.22597,5.3883
900,1.515,8.33e-07,2.022,0.0014,3.0157,0,2.3578,0.01329,1.618,0.010797,0.23068,5.4619
910,1.515,8.43e-07,2.021,0.00144,3.0141,0,2.3514,0.012972,1.617,0.011097,0.23546,5.5352
920,1.515,8.79e-07,2.02,0.00149,3.012,0,2.3455,0.012784,1.616,0.011397,0.24029,5.6083
930,1.515,8.9e-07,2.019,0.00154,3.0107,0,2.34,0.012705,1.616,0.011697,0.2452,5.6808
940,1.515,9e-07,2.018,0.00159,3.0093,0,2.3348,0.012715,1.615,0.011997,0.25016,5.7531
950,1.515,9.38e-07,2.017,0.00164,3.008,0,2.33,0.012798,1.614,0.012396,0.25515,5.8252
960,1.514,9.48e-07,2.016,0.00169,3.0066,0,2.3254,0.012939,1.614,0.012796,0.26023,5.8968
970,1.514,9.59e-07,2.015,0.00175,3.0052,0,2.3212,0.013127,1.613,0.013196,0.26533,5.9682
980,1.514,9.98e-07,2.014,0.0018,3.0039,0,2.3172,0.013351,1.612,0.013596,0.27047,6.0395
990,1.514,1.01e-06,2.013,0.00186,3.0025,0,2.3134,0.013603,1.611,0.013996,0.27565,6.1104
1000,1.514,1.02e-06,2.012,0.00192,3.0012,0,2.3099,0.013877,1.611,0.0145,0.28086,6.1811
1010,1.514,1.031e-06,2.012,0.00197,2.9999,0,2.3066,0.014165,1.61,0.015,0.28609,6.2514
1020,1.514,1.042e-06,2.011,0.00203,2.9984,0,2.3035,0.014459,1.609,0.0155,0.29137,6.3216
1030,1.513,1.053e-06,2.01,0.00209,2.9975,0,2.3005,0.014761,1.608,0.016,0.29666,6.3917
1040,1.513,1.064e-06,2.009,0.00215,2.9967,0,2.2977,0.015063,1.608,0.0166,0.30198,6.4614
1050,1.513,1.075e-06,2.008,0.00222,2.9954,0,2.2951,0.015364,1.607,0.0172,0.30732,6.5311
1060,1.513,1.086e-06,2.008,0.00228,2.9945,0,2.2926,0.01566,1.606,0.0178,0.3127,6.6008
1070,1.513,1.097e-06,2.007,0.00235,2.9937,0,2.2902,0.015951,1.605,0.0185,0.31807,6.6699
1080,1.513,1.108e-06,2.006,0.00241,2.9924,0,2.288,0.016234,1.604,0.0192,0.32344,6.7388
1090,1.513,1.119e-06,2.005,0.00248,2.9915,0,2.2858,0.016508,1.603,0.02,0.32885,6.8077
1100,1.512,1.13e-06,2.005,0.00255,2.9908,0,2.2838,0.016771,1.602,0.0208,0.33427,6.8765
1110,1.512,1.138e-06,2.004,0.00262,2.9901,0,2.2819,0.017025,1.602,0.0216,0.3397,6.9451
1120,1.512,1.146e-06,2.003,0.00269,2.9889,0,2.28,0.017266,1.601,0.0225,0.34514,7.0135
1130,1.512,1.154e-06,2.002,0.00276,2.9878,0,2.2783,0.017497,1.6,0.0235,0.35059,7.0818
1140,1.512,1.162e-06,2.002,0.00284,2.9871,0,2.2766,0.017716,1.599,0.0245,0.35604,7.15
1150,1.512,1.17e-06,2.001,0.00291,2.9864,0,2.275,0.017922,1.598,0.0256,0.36151,7.218
1160,1.512,1.178e-06,2,0.00299,2.9857,0,2.2734,0.018116,1.597,0.0267,0.36698,7.2858
1170,1.512,1.186e-06,2,0.00307,2.9851,0,2.272,0.018299,1.596,0.0279,0.37246,7.3536
1180,1.511,1.194e-06,1.999,0.00314,2.9844,0,2.2706,0.01847,1.595,0.0292,0.37795,7.4212
1190,1.511,1.202e-06,1.998,0.00322,2.9837,0,2.2692,0.018628,1.594,0.0305,0.38344,7.4888
1200,1.511,1.21e-06,1.998,0.00331,2.9831,0,2.2679,0.018776,1.593,0.0319,0.38894,7.5562
1210,1.511,1.21e-06,1.997,0.00339,2.9824,0,2.2667,0.018913,1.5939,0.027355,0.39444,7.6235
1220,1.511,1.21e-06,1.996,0.00347,2.9817,0,2.2655,0.019038,1.5931,0.027867,0.39992,7.6904
1230,1.511,1.21e-06,1.996,0.00356,2.981,0,2.2643,0.019153,1.5923,0.02838,0.40541,7.7573
1240,1.511,1.21e-06,1.995,0.00364,2.9803,0,2.2632,0.019258,1.5916,0.028892,0.41094,7.8244
1250,1.511,1.21e-06,1.995,0.00373,2.9797,0,2.2621,0.019353,1.5908,0.029405,0.41647,7.8915
1260,1.51,1.21e-06,1.994,0.00382,2.979,0,2.2611,0.019438,1.59,0.029917,0.42197,7.9581
1270,1.51,1.21e-06,1.993,0.00391,2.9783,0,2.2601,0.019514,1.5893,0.03043,0.42748,8.0248
1280,1.51,1.21e-06,1.993,0.00401,2.9776,0,2.2591,0.019582,1.5885,0.030942,0.43301,8.0914
1290,1.51,1.21e-06,1.992,0.0041,2.977,0,2.2582,0.019641,1.5878,0.031455,0.43854,8.1579
1300,1.51,1.21e-06,1.992,0.00419,2.977,0,2.2573,0.019691,1.587,0.031967,0.44405,8.2242
1310,1.51,1.201e-06,1.991,0.00429,2.9766,0,2.2564,0.019734,1.5862,0.03248,0.44956,8.2905
1320,1.51,1.192e-06,1.99,0.00439,2.9759,0,2.2556,0.019768,1.5855,0.032993,0.45509,8.3567
1330,1.51,1.183e-06,1.99,0.00449,2.9753,0,2.2547,0.019796,1.5847,0.033505,0.46062,8.4228
1340,1.51,1.174e-06,1.989,0.00459,2.9746,0,2.2539,0.019817,1.5839,0.034018,0.46616,8.489
1350,1.509,1.165e-06,1.989,0.00469,2.974,0,2.2532,0.019831,1.5832,0.03453,0.47171,8.5552
1360,1.509,1.156e-06,1.988,0.0048,2.974,0,2.2524,0.019839,1.5824,0.035043,0.47725,8.6212
1370,1.509,1.147e-06,1.987,0.0049,2.9735,0,2.2517,0.019841,1.5817,0.035555,0.48279,8.6872
1380,1.509,1.138e-06,1.987,0.00501,2.9729,0,2.251,0.019836,1.5809,0.036068,0.48834,8.753
1390,1.509,1.129e-06,1.986,0.00512,2.9722,0,2.2503,0.019827,1.5801,0.03658,0.49387,8.8186
1400,1.509,1.12e-06,1.986,0.00523,2.972,0,2.2496,0.019813,1.5794,0.037093,0.49941,8.8842
1410,1.509,1.1039e-06,1.985,0.00534,2.9718,0,2.2489,0.019793,1.5786,0.037605,0.50497,8.9499
1420,1.509,1.0878e-06,1.985,0.00545,2.9711,0,2.2483,0.019768,1.5778,0.038118,0.51053,9.0156
1430,1.508,1.0717e-06,1.984,0.00556,2.9705,0,2.2476,0.019738,1.5771,0.038631,0.51609,9.0812
1440,1.508,1.0556e-06,1.984,0.00568,2.97,0,2.247,0.019705,1.5763,0.039143,0.52165,9.1467
1450,1.508,1.0395e-06,1.983,0.0058,2.97,0,2.2464,0.019668,1.5755,0.039656,0.52722,9.2121
1460,1.508,1.0234e-06,1.982,0.00592,2.9694,0,2.2458,0.019627,1.5748,0.040168,0.53278,9.2774
1470,1.508,1.0073e-06,1.982,0.00604,2.969,0,2.2452,0.019581,1.574,0.040681,0.53835,9.3427
1480,1.508,9.912e-07,1.981,0.00616,2.969,0,2.2447,0.019532,1.5733,0.041193,0.54394,9.4081
1490,1.508,9.751e-07,1.981,0.00628,2.9684,0,2.2441,0.019481,1.5725,0.041706,0.54953,9.4735
1500,1.508,9.59e-07,1.98,0.00641,2.968,0,2.2436,0.019425,1.5717,0.042218,0.55512,9.5387
1510,1.508,9.444e-07,1.98,0.00654,2.968,0,2.1877,0.012681,1.571,0.042731,0.5607,9.6037
1520,1.507,9.298e-07,1.979,0.00666,2.9674,0,2.1846,0.012489,1.5702,0.043243,0.56628,9.6688
1530,1.507,9.152e-07,1.979,0.00679,2.967,0,2.1814,0.012296,1.5694,0.043756,0.57189,9.7339
1540,1.507,9.006e-07,1.978,0.00693,2.967,0,2.1782,0.012104,1.5687,0.044269,0.5775,9.7991
1550,1.507,8.86e-07,1.978,0.00706,2.9663,0,2.175,0.011912,1.5679,0.044781,0.58311,9.8639
1560,1.507,8.714e-07,1.977,0.0072,2.966,0,2.1718,0.011719,1.5672,0.045294,0.58871,9.9288
1570,1.507,8.568e-07,1.976,0.00733,2.966,0,2.1686,0.011527,1.5664,0.045806,0.59432,9.9936
1580,1.507,8.422e-07,1.976,0.00747,2.966,0,2.1654,0.011334,1.5656,0.046319,0.59997,10.059
1590,1.507,8.276e-07,1.975,0.00761,2.9656,0,2.1623,0.011142,1.5649,0.046831,0.60561,10.124
1600,1.506,8.13e-07,1.975,0.00775,2.965,0,2.1591,0.01095,1.5641,0.047344,0.61125,10.189
1610,1.506,8.147e-07,1.974,0.00789,2.965,0,2.1559,0.010757,1.5633,0.047856,0.6169,10.253
1620,1.506,8.164e-07,1.974,0.00804,2.9646,0,2.1527,0.010565,1.5626,0.048369,0.62254,10.318
1630,1.506,8.181e-07,1.973,0.00819,2.964,0,2.1495,0.010372,1.5618,0.048881,0.62821,10.383
1640,1.506,8.198e-07,1.973,0.00834,2.964,0,2.1463,0.01018,1.5611,0.049394,0.63387,10.447
1650,1.506,8.215e-07,1.972,0.00849,2.964,0,2.1432,0.0099875,1.5603,0.049907,0.63955,10.512
1660,1.506,8.232e-07,1.972,0.00864,2.9639,0,2.14,0.0097951,1.5595,0.050419,0.64524,10.577
1670,1.506,8.249e-07,1.971,0.00879,2.9632,0,2.1368,0.0096027,1.5588,0.050932,0.65093,10.641
1680,1.505,8.266e-07,1.971,0.00895,2.963,0,2.1336,0.0094104,1.558,0.051444,0.65663,10.706
1690,1.505,8.283e-07,1.97,0.0091,2.963,0,2.1304,0.009218,1.5572,0.051957,0.66233,10.77
1700,1.505,8.3e-07,1.969,0.00926,2.963,0,2.1272,0.0090256,1.5565,0.052469,0.66803,10.835
1710,1.505,8.413e-07,1.969,0.00942,2.9625,0,2.1241,0.0088332,1.5557,0.052982,0.67376,10.899
1720,1.505,8.526e-07,1.968,0.00959,2.962,0,2.1209,0.0086408,1.5549,0.053494,0.6795,10.963
1730,1.505,8.639e-07,1.968,0.00975,2.962,0,2.1177,0.0084484,1.5542,0.054007,0.68523,11.027
1740,1.505,8.752e-07,1.967,0.00992,2.962,0,2.1145,0.008256,1.5534,0.054519,0.69098,11.092
1750,1.505,8.865e-07,1.967,0.0101,2.9618,0,2.1113,0.0080636,1.5527,0.055032,0.69673,11.157
1760,1.504,8.978e-07,1.966,0.0103,2.9611,0,2.1081,0.0078712,1.5519,0.055545,0.7025,11.221
1770,1.504,9.091e-07,1.966,0.0104,2.961,0,2.105,0.0076788,1.5511,0.056057,0.70829,11.285
1780,1.504,9.204e-07,1.965,0.0106,2.961,0,2.1018,0.0074864,1.5504,0.05657,0.71408,11.35
1790,1.504,9.317e-07,1.965,0.0108,2.961,0,2.0986,0.007294,1.5496,0.057082,0.71988,11.414
1800,1.504,9.43e-07,1.964,0.011,2.9604,0,2.0954,0.0071016,1.5488,0.057595,0.72569,11.478
1810,1.504,9.607e-07,1.964,0.0111,2.96,0,2.0922,0.0069092,1.5481,0.058107,0.7315,11.542
1820,1.504,9.784e-07,1.963,0.0113,2.96,0,2.089,0.0067168,1.5473,0.05862,0.73733,11.606
1830,1.504,9.961e-07,1.963,0.0115,2.96,0,2.0859,0.0065244,1.5466,0.059132,0.74317,11.67
1840,1.503,1.0138e-06,1.962,0.0117,2.96,0,2.0827,0.006332,1.5458,0.059645,0.74901,11.734
1850,1.503,1.0315e-06,1.961,0.0119,2.96,0,2.0795,0.0061396,1.545,0.060157,0.75489,11.798
1860,1.503,1.0492e-06,1.961,0.0121,2.9593,0,2.0763,0.0059472,1.5443,0.06067,0.76078,11.863
1870,1.503,1.0669e-06,1.96,0.0122,2.959,0,2.0731,0.0057548,1.5435,0.061183,0.76666,11.927
1880,1.503,1.0846e-06,1.96,0.0124,2.959,0,2.0699,0.0055624,1.5427,0.061695,0.77256,11.991
1890,1.503,1.1023e-06,1.959,0.0126,2.959,0,2.0668,0.00537,1.542,0.062208,0.77847,12.055
1900,1.503,1.12e-06,1.959,0.0128,2.9586,0,2.0636,0.0051776,1.5412,0.06272,0.78437,12.118
1910,1.503,1.155e-06,1.958,0.013,2.958,0,2.0604,0.0049852,1.5405,0.063233,0.79031,12.182
1920,1.502,1.19e-06,1.958,0.0132,2.958,0,2.0572,0.0047928,1.5397,0.063745,0.79628,12.247
1930,1.502,1.225e-06,1.957,0.0134,2.958,0,2.054,0.0046004,1.5389,0.064258,0.80224,12.311
1940,1.502,1.26e-06,1.957,0.0136,2.958,0,2.0508,0.004408,1.5382,0.06477,0.80821,12.375
1950,1.502,1.295e-06,1.956,0.0138,2.958,0,2.0477,0.0042156,1.5374,0.065283,0.8142,12.439
1960,1.502,1.33e-06,1.956,0.014,2.958,0,2.0445,0.0040232,1.5366,0.065795,0.82018,12.503
1970,1.502,1.365e-06,1.955,0.0143,2.9579,0,2.0413,0.0038308,1.5359,0.066308,0.82619,12.567
1980,1.502,1.4e-06,1.954,0.0145,2.9572,0,2.0381,0.0036384,1.5351,0.066821,0.83224,12.63
1990,1.501,1.435e-06,1.954,0.0147,2.957,0,2.0349,0.003446,1.5343,0.067333,0.83829,12.694
2000,1.501,1.47e-06,1.953,0.0149,2.957,0,2.0317,0.0032536,1.5336,0.067846,0.84435,12.758
